DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,fpr,fpu,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1773,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.100517977,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1774,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.126763824,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1775,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.09821079,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1776,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.080892082,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1777,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.101023359,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1778,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.094460853,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1779,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.077431115,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1780,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.117150099,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1781,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.102565712,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1782,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.07069957,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1783,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.09549646,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1784,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.076937065,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1785,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.108126222,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1786,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.110433491,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1787,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.126504501,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1788,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.094210491,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1789,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.098443648,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1790,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.11217728,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1791,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.107462775,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1792,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.086553524,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1793,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.102584724,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1794,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.095132456,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1795,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.102683113,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1796,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.085961632,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1797,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.072874397,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1798,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.109470689,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1799,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.102690557,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1800,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.098404511,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1801,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.099893034,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1802,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.081552724,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1803,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.118594511,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1804,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.114680917,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1805,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.106811797,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1806,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.096765716,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1807,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.101920741,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1808,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.110330821,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1809,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.114428968,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1810,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.103860982,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1811,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.08591974,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
1812,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.084632677,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
